modulo;perfil;medida;color;extras;costo;proveedor;precio;ganancia
PATAGONICA_HERRERO;azul;200x150;blanco;brazo;218798;240678;312881;94083
PATAGONICA_HERRERO;azul;200x150;blanco;volcable;218798;240678;312881;94083
PATAGONICA_HERRERO;azul;150x110;negro;raja;141510;155661;202360;60849
PATAGONICA_HERRERO;azul;150x110;negro;brazo;145030;159533;207393;62363
PATAGONICA_HERRERO;azul;150x110;negro;volcable;145030;159533;207393;62363
PATAGONICA_HERRERO;azul;200x150;negro;raja;256832;282515;367269;110438
PATAGONICA_HERRERO;azul;200x150;negro;brazo;263872;290259;377336;113465
PATAGONICA_HERRERO;azul;200x150;negro;volcable;263872;290259;377336;113465
PATAGONICA_HERRERO;azul;150x110;bronce colonial;raja;154006;169407;220229;66223
PATAGONICA_HERRERO;azul;150x110;bronce colonial;brazo;157526;173279;225262;67736
PATAGONICA_HERRERO;azul;150x110;bronce colonial;volcable;157526;173279;225262;67736
PATAGONICA_HERRERO;azul;200x150;bronce colonial;raja;279367;307304;399495;120128
PATAGONICA_HERRERO;azul;200x150;bronce colonial;brazo;286407;315048;409563;123155
PATAGONICA_HERRERO;azul;200x150;bronce colonial;volcable;286407;315048;409563;123155
PATAGONICA_HERRERO;azul;150x110;simil madera;raja;349777;384755;500181;150404
PATAGONICA_HERRERO;azul;150x110;simil madera;brazo;353297;388627;505215;151918
PATAGONICA_HERRERO;azul;150x110;simil madera;volcable;353297;388627;505215;151918
PATAGONICA_HERRERO;azul;200x150;simil madera;raja;632434;695677;904381;271947
PATAGONICA_HERRERO;azul;200x150;simil madera;brazo;639474;703421;914448;274974
PATAGONICA_HERRERO;azul;200x150;simil madera;volcable;639474;703421;914448;274974
PATAGONICA_HERRERO;verde;150x110;blanco;raja;116518;133996;180894;64376
PATAGONICA_HERRERO;verde;150x110;blanco;brazo;120038;138044;186359;66321
PATAGONICA_HERRERO;verde;150x110;blanco;volcable;120038;138044;186359;66321
PATAGONICA_HERRERO;verde;200x150;blanco;raja;211758;243522;328754;116996
PATAGONICA_HERRERO;verde;200x150;blanco;brazo;218798;251618;339684;120886
PATAGONICA_HERRERO;verde;200x150;blanco;volcable;218798;251618;339684;120886
PATAGONICA_HERRERO;verde;150x110;negro;raja;141510;162737;219695;78184
PATAGONICA_HERRERO;verde;150x110;negro;brazo;145030;166785;225159;80129
PATAGONICA_HERRERO;verde;150x110;negro;volcable;145030;166785;225159;80129
PATAGONICA_HERRERO;verde;200x150;negro;raja;256832;295356;398731;141899
PATAGONICA_HERRERO;verde;200x150;negro;brazo;263872;303452;409661;145789
PATAGONICA_HERRERO;verde;200x150;negro;volcable;263872;303452;409661;145789
PATAGONICA_HERRERO;verde;150x110;bronce colonial;raja;154006;177107;239095;85088
PATAGONICA_HERRERO;verde;150x110;bronce colonial;brazo;157526;181155;244559;87033
PATAGONICA_HERRERO;verde;150x110;bronce colonial;volcable;157526;181155;244559;87033
PATAGONICA_HERRERO;verde;200x150;bronce colonial;raja;279367;321273;433718;154351
PATAGONICA_HERRERO;verde;200x150;bronce colonial;brazo;286407;329369;444648;158240
PATAGONICA_HERRERO;verde;200x150;bronce colonial;volcable;286407;329369;444648;158240
PATAGONICA_HERRERO;verde;150x110;simil madera;raja;349777;402244;543029;193252
PATAGONICA_HERRERO;verde;150x110;simil madera;brazo;353297;406292;548494;195197
PATAGONICA_HERRERO;verde;150x110;simil madera;volcable;353297;406292;548494;195197
PATAGONICA_HERRERO;verde;200x150;simil madera;raja;632434;727299;981854;349420
PATAGONICA_HERRERO;verde;200x150;simil madera;brazo;639474;735395;992783;353309
PATAGONICA_HERRERO;verde;200x150;simil madera;volcable;639474;735395;992783;353309
PATAGONICA_HERRERO;papu;150x110;blanco;raja;132407;132407;132407;0
PATAGONICA_HERRERO;papu;150x110;blanco;brazo;136407;136407;136407;0
PATAGONICA_HERRERO;papu;150x110;blanco;volcable;136407;136407;136407;0
PATAGONICA_HERRERO;papu;200x150;blanco;raja;240634;240634;240634;0
PATAGONICA_HERRERO;papu;200x150;blanco;brazo;248634;248634;248634;0
PATAGONICA_HERRERO;papu;200x150;blanco;volcable;248634;248634;248634;0
PATAGONICA_HERRERO;papu;150x110;negro;raja;160807;160807;160807;0
PATAGONICA_HERRERO;papu;150x110;negro;brazo;164807;164807;164807;0
PATAGONICA_HERRERO;papu;150x110;negro;volcable;164807;164807;164807;0
PATAGONICA_HERRERO;papu;200x150;negro;raja;291854;291854;291854;0
PATAGONICA_HERRERO;papu;200x150;negro;brazo;299854;299854;299854;0
PATAGONICA_HERRERO;papu;200x150;negro;volcable;299854;299854;299854;0
PATAGONICA_HERRERO;papu;150x110;bronce colonial;raja;175007;175007;175007;0
PATAGONICA_HERRERO;papu;150x110;bronce colonial;brazo;179007;179007;179007;0
PATAGONICA_HERRERO;papu;150x110;bronce colonial;volcable;179007;179007;179007;0
PATAGONICA_HERRERO;papu;200x150;bronce colonial;raja;317463;317463;317463;0
PATAGONICA_HERRERO;papu;200x150;bronce colonial;brazo;325463;325463;325463;0
PATAGONICA_HERRERO;papu;200x150;bronce colonial;volcable;325463;325463;325463;0
PATAGONICA_HERRERO;papu;150x110;simil madera;raja;397474;397474;397474;0
PATAGONICA_HERRERO;papu;150x110;simil madera;brazo;401474;401474;401474;0
PATAGONICA_HERRERO;papu;150x110;simil madera;volcable;401474;401474;401474;0
PATAGONICA_HERRERO;papu;200x150;simil madera;raja;718675;718675;718675;0
PATAGONICA_HERRERO;papu;200x150;simil madera;brazo;726675;726675;726675;0
PATAGONICA_HERRERO;papu;200x150;simil madera;volcable;726675;726675;726675;0
PATAGONICA_MODENA;amarilla;150x110;blanco;raja;227069;211174;290998;63929
PATAGONICA_MODENA;amarilla;150x110;blanco;brazo;231069;214894;296124;65055
PATAGONICA_MODENA;amarilla;150x110;blanco;volcable;231069;214894;296124;65055
PATAGONICA_MODENA;amarilla;150x110;blanco;oscilobatiente;327069;304174;419152;92083
PATAGONICA_MODENA;amarilla;150x110;blanco;mosquitero;306870;282995;412806;105936
PATAGONICA_MODENA;amarilla;150x110;blanco;premarco;287389;267272;356408;69019
PATAGONICA_MODENA;amarilla;150x110;blanco;herrajes_blancos;236696;220127;303335;66639
PATAGONICA_MODENA;amarilla;200x150;blanco;raja;436806;406230;559784;122978
PATAGONICA_MODENA;amarilla;200x150;blanco;brazo;440806;409950;564911;124105
PATAGONICA_MODENA;amarilla;200x150;blanco;volcable;440806;409950;564911;124105
PATAGONICA_MODENA;amarilla;200x150;blanco;oscilobatiente;536806;499230;687938;151132
PATAGONICA_MODENA;amarilla;200x150;blanco;mosquitero;581898;536812;781253;199355
PATAGONICA_MODENA;amarilla;200x150;blanco;premarco;518006;481746;647836;129830
PATAGONICA_MODENA;amarilla;200x150;blanco;herrajes_blancos;455097;423240;583225;128128
PATAGONICA_MODENA;amarilla;150x110;negro;raja;284832;264894;365024;80192
PATAGONICA_MODENA;amarilla;150x110;negro;brazo;288832;268614;370150;81318
PATAGONICA_MODENA;amarilla;150x110;negro;volcable;288832;268614;370150;81318
PATAGONICA_MODENA;amarilla;150x110;negro;oscilobatiente;384832;357894;493178;108346
PATAGONICA_MODENA;amarilla;150x110;negro;mosquitero;364633;336714;486831;122199
PATAGONICA_MODENA;amarilla;150x110;negro;premarco;345152;320991;430433;85281
